"TIME","WideBPF","Vin"
0.01226832373,-3.7397,-3.82668
0.01230346028,-4.33047,-4.41215
0.01233859682,-4.73221,-4.80479
0.01237373336,-4.92734,-4.98743
0.0124088699,-4.90735,-4.9521
0.01244400644,-4.67309,-4.70035
0.01247914298,-4.23483,-4.24316
0.01251427952,-3.61169,-3.60053
0.01254941606,-2.83093,-2.80053
0.0125845526,-1.92666,-1.87814
0.01261968914,-0.938409,-0.873671
0.01265482568,0.0906395,0.168986
0.01268996222,1.11551,1.20426
0.01272509876,2.0914,2.1869
0.0127602353,2.97568,3.07396
0.01279537184,3.72968,3.82668
0.01283050838,4.32046,4.41215
0.01286564492,4.7222,4.80479
0.01290078147,4.91733,4.98743
0.01293591801,4.89733,4.9521
0.01297105455,4.66308,4.70035
0.01300619109,4.22481,4.24316
0.01304132763,3.60168,3.60053
0.01307646417,2.82092,2.80053
0.01311160071,1.91665,1.87814
0.01314673725,0.928393,0.873671
0.01318187379,-0.100656,-0.168986
0.01321701033,-1.12552,-1.20426
0.01325214687,-2.10142,-2.1869
0.01328728341,-2.98569,-3.07396
0.01332241995,-3.7397,-3.82668
0.01335755649,-4.33047,-4.41215
0.01339269303,-4.73221,-4.80479
0.01342782957,-4.92734,-4.98743
0.01346296611,-4.90735,-4.9521
0.01349810266,-4.67309,-4.70035
0.0135332392,-4.23483,-4.24316
0.01356837574,-3.61169,-3.60053
0.01360351228,-2.83093,-2.80053
0.01363864882,-1.92666,-1.87814
0.01367378536,-0.938409,-0.873671
0.0137089219,0.0906394,0.168986
0.01374405844,1.11551,1.20426
0.01377919498,2.0914,2.1869
0.01381433152,2.97568,3.07396
0.01384946806,3.72968,3.82668
0.0138846046,4.32046,4.41215
0.01391974114,4.7222,4.80479
0.01395487768,4.91733,4.98743
0.01399001422,4.89733,4.9521
0.01402515076,4.66308,4.70035
0.0140602873,4.22481,4.24316
0.01409542385,3.60168,3.60053
0.01413056039,2.82092,2.80053
0.01416569693,1.91665,1.87814
0.01420083347,0.928393,0.873671
0.01423597001,-0.100656,-0.168986
0.01427110655,-1.12552,-1.20426
0.01430624309,-2.10142,-2.1869
0.01434137963,-2.98569,-3.07396
0.01437651617,-3.7397,-3.82668
0.01441165271,-4.33047,-4.41215
0.01444678925,-4.73221,-4.80479
0.01448192579,-4.92734,-4.98743
0.01451706233,-4.90735,-4.9521
0.01455219887,-4.67309,-4.70035
0.01458733541,-4.23483,-4.24316
0.01462247195,-3.61169,-3.60053
0.0146576085,-2.83093,-2.80053
0.01469274504,-1.92666,-1.87814
0.01472788158,-0.938409,-0.873671
0.01476301812,0.0906395,0.168986
0.01479815466,1.11551,1.20426
0.0148332912,2.0914,2.1869
0.01486842774,2.97568,3.07396
0.01490356428,3.72968,3.82668
0.01493870082,4.32046,4.41215
0.01497383736,4.7222,4.80479
0.0150089739,4.91733,4.98743
0.01504411044,4.89733,4.9521
0.01507924698,4.66308,4.70035
0.01511438352,4.22481,4.24316
0.01514952006,3.60168,3.60053
0.0151846566,2.82092,2.80053
0.01521979314,1.91665,1.87814
0.01525492969,0.928393,0.873671
0.01529006623,-0.100656,-0.168986
0.01532520277,-1.12552,-1.20426
0.01536033931,-2.10142,-2.1869
0.01539547585,-2.98569,-3.07396
0.01543061239,-3.7397,-3.82668
0.01546574893,-4.33047,-4.41215
0.01550088547,-4.73221,-4.80479
0.01553602201,-4.92734,-4.98743
0.01557115855,-4.90735,-4.9521
0.01560629509,-4.67309,-4.70035
0.01564143163,-4.23483,-4.24316
0.01567656817,-3.61169,-3.60053
0.01571170471,-2.83093,-2.80053
0.01574684125,-1.92666,-1.87814
0.01578197779,-0.938409,-0.873671
0.01581711433,0.0906395,0.168986
0.01585225088,1.11551,1.20426
0.01588738742,2.0914,2.1869
0.01592252396,2.97568,3.07396
0.0159576605,3.72968,3.82668
0.01599279704,4.32046,4.41215
0.01602793358,4.7222,4.80479
0.01606307012,4.91733,4.98743
0.01609820666,4.89733,4.9521
0.0161333432,4.66308,4.70035
0.01616847974,4.22481,4.24316
0.01620361628,3.60168,3.60053
0.01623875282,2.82092,2.80053
0.01627388936,1.91665,1.87814
0.0163090259,0.928393,0.873671
0.01634416244,-0.100656,-0.168986
0.01637929898,-1.12552,-1.20426
0.01641443552,-2.10142,-2.1869
0.01644957207,-2.98569,-3.07396
0.01648470861,-3.7397,-3.82668
0.01651984515,-4.33047,-4.41215
0.01655498169,-4.73221,-4.80479
0.01659011823,-4.92734,-4.98743
0.01662525477,-4.90735,-4.9521
0.01666039131,-4.67309,-4.70035
0.01669552785,-4.23483,-4.24316
0.01673066439,-3.61169,-3.60053
0.01676580093,-2.83093,-2.80053
0.01680093747,-1.92666,-1.87814
0.01683607401,-0.938409,-0.873671
0.01687121055,0.0906395,0.168986
0.01690634709,1.11551,1.20426
0.01694148363,2.0914,2.1869
0.01697662017,2.97568,3.07396
0.01701175672,3.72968,3.82668
0.01704689326,4.32046,4.41215
0.0170820298,4.7222,4.80479
0.01711716634,4.91733,4.98743
0.01715230288,4.89733,4.9521
0.01718743942,4.66308,4.70035
0.01722257596,4.22481,4.24316
0.0172577125,3.60168,3.60053
0.01729284904,2.82092,2.80053
0.01732798558,1.91665,1.87814
0.01736312212,0.928393,0.873671
0.01739825866,-0.100656,-0.168986
0.0174333952,-1.12552,-1.20426
0.01746853174,-2.10142,-2.1869
0.01750366828,-2.98569,-3.07396
0.01753880482,-3.7397,-3.82668
0.01757394136,-4.33047,-4.41215
0.01760907791,-4.73221,-4.80479
0.01764421445,-4.92734,-4.98743
0.01767935099,-4.90735,-4.9521
0.01771448753,-4.67309,-4.70035
0.01774962407,-4.23483,-4.24316
0.01778476061,-3.61169,-3.60053
0.01781989715,-2.83093,-2.80053
0.01785503369,-1.92666,-1.87814
0.01789017023,-0.938409,-0.873671
0.01792530677,0.0906395,0.168986
0.01796044331,1.11551,1.20426
0.01799557985,2.0914,2.1869
0.01803071639,2.97568,3.07396
0.01806585293,3.72968,3.82668
0.01810098947,4.32046,4.41215
0.01813612601,4.7222,4.80479
0.01817126255,4.91733,4.98743
0.0182063991,4.89733,4.9521
0.01824153564,4.66308,4.70035
0.01827667218,4.22481,4.24316
0.01831180872,3.60168,3.60053
0.01834694526,2.82092,2.80053
0.0183820818,1.91665,1.87814
0.01841721834,0.928393,0.873671
0.01845235488,-0.100656,-0.168986
0.01848749142,-1.12552,-1.20426
0.01852262796,-2.10142,-2.1869
0.0185577645,-2.98569,-3.07396
0.01859290104,-3.7397,-3.82668
0.01862803758,-4.33047,-4.41215
0.01866317412,-4.73221,-4.80479
0.01869831066,-4.92734,-4.98743
0.0187334472,-4.90735,-4.9521
0.01876858374,-4.67309,-4.70035
0.01880372029,-4.23483,-4.24316
0.01883885683,-3.61169,-3.60053
0.01887399337,-2.83093,-2.80053
0.01890912991,-1.92666,-1.87814
0.01894426645,-0.938409,-0.873671
0.01897940299,0.0906395,0.168986
0.01901453953,1.11551,1.20426
0.01904967607,2.0914,2.1869
0.01908481261,2.97568,3.07396
0.01911994915,3.72968,3.82668
0.01915508569,4.32046,4.41215
0.01919022223,4.7222,4.80479
0.01922535877,4.91733,4.98743
0.01926049531,4.89733,4.9521
0.01929563185,4.66308,4.70035
0.01933076839,4.22481,4.24316
0.01936590494,3.60168,3.60053
0.01940104148,2.82092,2.80053
0.01943617802,1.91665,1.87814
0.01947131456,0.928393,0.873671
0.0195064511,-0.100656,-0.168986
0.01954158764,-1.12552,-1.20426
0.01957672418,-2.10142,-2.1869
0.01961186072,-2.98569,-3.07396
0.01964699726,-3.7397,-3.82668
0.0196821338,-4.33047,-4.41215
0.01971727034,-4.73221,-4.80479
0.01975240688,-4.92734,-4.98743
0.01978754342,-4.90735,-4.9521
0.01982267996,-4.67309,-4.70035
0.0198578165,-4.23483,-4.24316
0.01989295304,-3.61169,-3.60053
0.01992808958,-2.83093,-2.80053
0.01996322613,-1.92666,-1.87814
0.01999836267,-0.938409,-0.873671
0.02,-0.890397,-0.825582
